datetime,outdoor_temperature,indoor_temperature,past_electricity,y
23-11-22 11:00,22.24933988,18.25,957.2875,943.9625
02-12-22 15:00,21.38894622,19.41666667,4640.9625,2422.2
09-11-22 08:00,23.27364224,17.5,473.7875,507.2125
20-12-22 14:00,21.76886794,14.75,4451.360606,3314.95
07-10-22 11:00,25.9807081,21.5,1326.05,1175.0125
12-12-22 09:00,19.06805293,15.16666667,1364.884375,676.275
15-11-22 14:00,21.94970798,17.25,1346.925,1682.2625
22-11-22 12:00,23.89203027,19.58333333,1721.8625,2291.875
28-11-22 08:00,20.39989518,12.75,493.975,1130.35
02-11-22 10:00,24.07552616,19.66666667,1032.15,803.175
16-12-22 10:00,22.8532112,17.83333333,1047.05,1286.85
27-10-22 10:00,25.53933298,18.66666667,1491.875,468.452514
13-10-22 14:00,25.85961312,23.0,1088.7,837.15
26-10-22 15:00,25.40565561,17.6547619,1094.55,1845.8
26-10-22 08:00,23.15480745,17.32142857,761.5875,957.525
27-12-22 09:00,20.27246084,12.33333333,840.475,683.75
05-10-22 08:00,26.03458167,20.25,378.125,419.45
02-12-22 14:00,21.48563149,19.75,3247.05,3360.975
22-12-22 13:00,22.44923263,14.08333333,2372.9875,3331.775
14-10-22 08:00,23.72662186,17.75,443.375,624.075
29-11-22 12:00,21.43181496,16.58333333,3084.85,2015.9
05-10-22 14:00,26.03128442,23.0,2361.3125,1473.375
01-11-22 12:00,23.91189433,20.58333333,1504.45,1722.325
11-10-22 08:00,23.91643725,16.75,685.5,549.4875
22-12-22 09:00,20.04064135,14.16666667,748.875,1482.575
13-12-22 14:00,21.21699971,19.75,1408.2125,1469.575
14-11-22 08:00,20.67830944,15.75,509.275,539.05
24-11-22 15:00,22.47322039,19.41666667,2330.1375,1795.7125
19-12-22 10:00,22.41183518,16.91666667,1286.85,2783.05
16-12-22 14:00,22.76212296,23.75,2697.475,1190.975
06-12-22 09:00,20.17531745,15.58333333,837.2875,897.5
16-11-22 12:00,22.61326076,19.75,1402.15,1967.8375
09-11-22 15:00,23.23178699,20.0,2015.35,1544.6625
10-11-22 12:00,22.88830735,19.58333333,2621.4625,1365.3
28-11-22 15:00,21.1690267,16.0,1805.475,2852.2
21-12-22 15:00,19.74912955,15.0,2738.4,2335.35
21-11-22 11:00,23.96582539,21.75,1721.7625,2825.7
28-12-22 13:00,21.76902319,18.58333333,2276.25,2872.0
22-12-22 08:00,19.57136178,13.5,569.825,1364.0125
29-11-22 15:00,21.12587462,17.58333333,2852.2,2490.95
07-12-22 14:00,21.09280449,19.5,1752.55,2298.75
23-11-22 13:00,22.17628305,16.25,1670.8375,1820.25
09-11-22 09:00,23.35122845,18.16666667,579.7375,475.85
02-11-22 09:00,24.10794281,18.33333333,501.1,582.9875
11-10-22 11:00,25.40359458,20.0,1389.85,1781.5625
14-11-22 09:00,23.62019215,16.75,615.4,615.6
07-11-22 14:00,24.28176471,19.0,1222.75,2436.5625
30-11-22 13:00,21.32208114,17.83333333,3836.75,2150.875
22-11-22 11:00,23.96987746,19.25,2825.7,957.2875
21-10-22 09:00,23.50859315,19.58333333,791.7125,643.225
12-10-22 13:00,25.67182468,21.91666667,1043.675,1944.9875
14-12-22 13:00,22.17320067,17.91666667,1947.15,4178.0
04-10-22 09:00,27.26509693,20.5,629.4,687.1625
20-12-22 09:00,21.51067454,13.58333333,960.925,1031.7375
27-12-22 15:00,20.01803706,18.58333333,3185.4625,2834.74
12-10-22 09:00,23.93976656,19.33333333,748.2875,962.9
18-10-22 08:00,23.48198652,19.75,423.05,416.25
09-11-22 13:00,23.36318344,19.91666667,1047.3,1195.9625
10-10-22 10:00,25.8605069,20.58333333,1190.2,882.425
22-11-22 15:00,23.65848871,20.58333333,1828.05,1478.7625
09-12-22 14:00,22.02661286,20.0,1941.55,2874.025
19-10-22 11:00,23.87973886,20.0,1047.95,3116.6375
06-12-22 11:00,20.87597885,16.25,2557.4625,1570.05
23-12-22 14:00,22.66528672,17.0,2968.1125,4051.5
12-10-22 12:00,25.5259358,21.58333333,1917.35,2008.475
07-12-22 09:00,20.28005268,13.75,897.5,640.4
23-11-22 08:00,22.35892513,16.75,545.925,696.075
18-11-22 09:00,27.97358121,20.75,600.0625,761.675
05-10-22 13:00,26.05932968,22.83333333,2413.3125,1179.625
01-12-22 11:00,21.42611525,18.5,2372.3,1488.35
19-10-22 08:00,23.78239415,19.25,416.25,432.6
14-12-22 11:00,21.74422069,17.25,1247.05,1824.3875
24-11-22 09:00,22.50158156,15.91666667,467.325,596.475
02-11-22 14:00,23.94585958,22.0,1284.175,1719.875
05-12-22 08:00,19.0300889,12.5,1016.375,783.3875
29-12-22 08:00,20.10252996,13.75,642.65,682.6375
26-10-22 14:00,25.55731438,17.60714286,2043.5,2461.95
30-11-22 10:00,20.76463301,16.0,2089.2625,2890.9
27-12-22 13:00,20.29876946,17.66666667,2996.825,2276.25
01-12-22 15:00,21.04667861,19.41666667,3297.325,4640.9625
18-11-22 11:00,23.51899235,22.5,2381.8,1721.7625
12-10-22 14:00,25.81771355,22.5,1275.225,1088.7
09-12-22 11:00,22.32724484,18.5,1585.175,3436.55
12-10-22 10:00,25.49328512,20.66666667,1215.925,1392.175
03-11-22 14:00,24.92671903,22.75,1719.875,1424.0125
07-11-22 13:00,24.86353588,18.75,2454.05,4436.9
29-12-22 12:00,20.85162829,16.58333333,1526.75,1753.0
07-11-22 11:00,24.23783605,16.75,981.6,1725.895
03-11-22 09:00,24.05587417,18.08333333,582.9875,537.675
13-10-22 10:00,25.75,21.0,1392.175,636.475
12-10-22 08:00,24.63607603,18.0,549.4875,569.9875
07-12-22 08:00,19.97356062,12.75,623.8,510.55
16-11-22 11:00,22.25700148,18.75,1397.1125,2381.8
21-11-22 12:00,23.93508282,22.75,1561.1625,1721.8625
06-10-22 13:00,26.79087192,21.83333333,1179.625,1690.825
01-12-22 09:00,20.81593284,17.16666667,1946.225,693.4
02-11-22 08:00,23.24664117,17.0,584.725,516.25
24-11-22 12:00,23.08575695,19.16666667,1329.15,1323.6375
23-12-22 11:00,22.99647347,14.0,2806.8875,1855.275
07-11-22 15:00,24.06495789,19.0,2342.0,1110.55
14-12-22 09:00,21.44931571,16.58333333,528.0375,909.775
28-11-22 13:00,21.36060291,15.91666667,1601.85,2180.9
19-12-22 13:00,21.91548019,17.91666667,1737.8875,3139.9
06-12-22 15:00,21.07110235,17.0,2352.3375,2496.85
22-11-22 09:00,22.67980152,17.33333333,628.4,711.6
30-11-22 12:00,21.1362651,17.16666667,2015.9,2908.925
31-10-22 13:00,24.02112558,20.83333333,4953.11655,2238.05
26-10-22 10:00,24.06737223,17.41666667,1655.15,1491.875
31-10-22 15:00,23.89143059,20.41666667,1954.9,2092.575
08-12-22 15:00,21.09899492,21.0,2123.5,1996.975
20-10-22 11:00,24.01876715,20.25,3116.6375,1651.025
12-12-22 12:00,21.38865478,17.75,2047.95,2074.9
18-10-22 15:00,23.82133769,20.16666667,1384.05,586.7625
28-12-22 10:00,22.04909917,13.66666667,1275.8625,1005.45
05-12-22 10:00,20.2609984,16.5,1389.1,1096.9125
10-11-22 14:00,22.91088993,19.75,1215.9,1827.85
25-10-22 09:00,23.90070151,17.91666667,1008.15,648.55
29-12-22 15:00,20.47425661,17.58333333,1370.075,3573.55
06-10-22 12:00,26.57653584,21.16666667,895.4625,1912.6125
07-11-22 12:00,24.78793515,17.75,1983.0,4427.0
14-10-22 15:00,26.51215278,23.0,2459.55,1632.1375
21-10-22 10:00,23.52886532,19.91666667,1502.85,1043.55
23-11-22 14:00,22.13975463,15.75,1622.7,3322.1375
07-12-22 12:00,21.35685994,17.91666667,1683.6,2598.6875
22-12-22 11:00,21.11357888,14.75,2561.725,2806.8875
20-10-22 14:00,24.21875253,21.0,1515.35,1659.675
